hand_id,player_0_action,player_0_amount,player_1_action,player_1_amount
texas(445),FOLD,0,FOLD,0
texas(446),FOLD,0,CALL,0
texas(447),FOLD,0,FOLD,0
texas(448),FOLD,0,FOLD,0
texas(449),CALL,0,FOLD,0
texas(45),CALL,0,FOLD,0
texas(450),FOLD,0,FOLD,0
texas(451),FOLD,0,FOLD,0
texas(452),FOLD,0,CALL,0
texas(453),FOLD,0,FOLD,0
texas(454),FOLD,0,FOLD,0
texas(455),FOLD,0,CALL,0
texas(456),FOLD,0,FOLD,0
texas(457),FOLD,0,CALL,0
texas(458),FOLD,0,FOLD,0
texas(459),FOLD,0,FOLD,0
texas(46),FOLD,0,CALL,0
texas(460),FOLD,0,FOLD,0
texas(461),FOLD,0,FOLD,0
texas(462),FOLD,0,CALL,0
texas(463),FOLD,0,FOLD,0
texas(464),FOLD,0,FOLD,0
texas(465),FOLD,0,CALL,0
texas(466),FOLD,0,FOLD,0
texas(467),CALL,0,FOLD,0
texas(468),CALL,0,FOLD,0
texas(469),CALL,0,FOLD,0
texas(47),CALL,0,CALL,0
texas(470),CALL,0,FOLD,0
texas(471),CALL,0,FOLD,0
texas(472),FOLD,0,CALL,0
texas(473),FOLD,0,FOLD,0
texas(474),FOLD,0,FOLD,0
texas(475),CALL,0,FOLD,0
texas(476),FOLD,0,FOLD,0
texas(477),CALL,0,FOLD,0
texas(478),FOLD,0,FOLD,0
texas(479),FOLD,0,FOLD,0
texas(48),CALL,0,CALL,0
texas(480),FOLD,0,CALL,0
texas(481),FOLD,0,CALL,0
texas(482),CALL,0,FOLD,0
texas(483),CALL,0,FOLD,0
texas(484),FOLD,0,FOLD,0
texas(485),FOLD,0,FOLD,0
texas(486),FOLD,0,CALL,0
texas(487),CALL,0,FOLD,0
texas(488),FOLD,0,CALL,0
texas(489),FOLD,0,CALL,0
texas(49),CALL,0,CALL,0
texas(490),CALL,0,FOLD,0
texas(491),FOLD,0,FOLD,0
texas(492),CALL,0,FOLD,0
texas(493),FOLD,0,FOLD,0
texas(494),CALL,0,FOLD,0
texas(495),FOLD,0,FOLD,0
texas(496),FOLD,0,FOLD,0
texas(497),FOLD,0,FOLD,0
texas(498),CALL,0,FOLD,0
texas(499),FOLD,0,FOLD,0
texas(5),CALL,0,CALL,0
texas(50),FOLD,0,CALL,0
texas(500),FOLD,0,FOLD,0
texas(501),CALL,0,FOLD,0
texas(502),CALL,0,FOLD,0
texas(503),FOLD,0,CALL,0
texas(504),FOLD,0,FOLD,0
texas(505),FOLD,0,FOLD,0
texas(506),FOLD,0,CALL,0
texas(507),FOLD,0,FOLD,0
texas(508),FOLD,0,FOLD,0
texas(509),CALL,0,FOLD,0
texas(51),CALL,0,CALL,0
texas(510),FOLD,0,CALL,0
texas(511),CALL,0,FOLD,0
texas(512),CALL,0,FOLD,0
texas(513),FOLD,0,FOLD,0
texas(514),FOLD,0,CALL,0
texas(515),FOLD,0,FOLD,0
texas(516),FOLD,0,FOLD,0
texas(517),FOLD,0,CALL,0
texas(518),CALL,0,FOLD,0
texas(519),FOLD,0,CALL,0
texas(52),CALL,0,FOLD,0
texas(520),FOLD,0,CALL,0
texas(521),CALL,0,FOLD,0
texas(522),FOLD,0,FOLD,0
texas(523),FOLD,0,FOLD,0
texas(524),CALL,0,FOLD,0
texas(525),FOLD,0,CALL,0
texas(526),CALL,0,FOLD,0
texas(527),CALL,0,FOLD,0
texas(528),CALL,0,FOLD,0
texas(529),FOLD,0,FOLD,0
texas(53),CALL,0,CALL,0
texas(530),FOLD,0,CALL,0
texas(531),FOLD,0,FOLD,0
texas(532),FOLD,0,FOLD,0
texas(533),FOLD,0,CALL,0
texas(534),FOLD,0,CALL,0
texas(535),FOLD,0,CALL,0
texas(536),FOLD,0,CALL,0
texas(537),FOLD,0,CALL,0
texas(538),FOLD,0,FOLD,0
texas(539),CALL,0,FOLD,0
texas(54),CALL,0,CALL,0
texas(540),FOLD,0,CALL,0
texas(541),CALL,0,FOLD,0
texas(542),CALL,0,FOLD,0
texas(543),FOLD,0,CALL,0
texas(544),FOLD,0,FOLD,0
texas(545),FOLD,0,FOLD,0
texas(546),FOLD,0,CALL,0
texas(547),FOLD,0,CALL,0
texas(548),FOLD,0,CALL,0
texas(549),FOLD,0,FOLD,0
texas(55),CALL,0,FOLD,0
texas(550),FOLD,0,CALL,0
texas(551),CALL,0,FOLD,0
texas(552),FOLD,0,CALL,0
texas(553),FOLD,0,CALL,0
texas(554),CALL,0,FOLD,0
texas(555),FOLD,0,CALL,0
texas(556),FOLD,0,FOLD,0
texas(557),FOLD,0,CALL,0
texas(558),FOLD,0,CALL,0
texas(559),CALL,0,FOLD,0
texas(56),CALL,0,CALL,0
texas(560),FOLD,0,FOLD,0
texas(561),FOLD,0,CALL,0
texas(562),FOLD,0,FOLD,0
texas(563),CALL,0,FOLD,0
texas(564),FOLD,0,FOLD,0
texas(565),FOLD,0,CALL,0
texas(566),FOLD,0,FOLD,0
texas(567),FOLD,0,FOLD,0
texas(568),FOLD,0,CALL,0
texas(569),CALL,0,FOLD,0
texas(57),CALL,0,CALL,0
texas(570),FOLD,0,FOLD,0
